class,count
Pelophylax_lessonae,73
Limosa_lapponica,71
Pluvialis_squatarola,71
Barbatula_barbatula,70
Tringa_erythropus,69
Numenius_arquata,69
Myocastor_coypus,68
Luscinia_luscinia,68
Ursus_arctos,68
Barbastella_barbastellus,68
Phalaropus_fulicarius,67
Sternula_albifrons,66
Micromys_minutus,66
Mustela_nivalis,66
Prunella_collaris,65
Glis_glis,65
Microcarbo_pygmaeus,64
Gobio_gobio,63
Pelophylax_ridibundus,63
Vespertilio_murinus,62
Tinca_tinca,61
Luscinia_svecica,59
Podiceps_auritus,58
Branta_canadensis,58
Myotis_nattereri,57
Lullula_arborea,56
Lynx_lynx,56
Microtus_arvalis,56
Locustella_fluviatilis,55
Larus_michahellis,55
Rupicapra_rupicapra,54
Motacilla_citreola,54
Pluvialis_apricaria,54
Sylvia_borin,53
Pagophila_eburnea,53
Mustela_putorius,53
Muscardinus_avellanarius,52
Corvus_corone,52
Botaurus_stellaris,52
Blicca_bjoerkna,51
Calidris_alba,51
Gavia_arctica,51
Gavia_stellata,51
Turdus_torquatus,51
Circus_macrourus,51
Arenaria_interpres,50
Thalasseus_sandvicensis,48
Pipistrellus_pygmaeus,47
Haematopus_ostralegus,46
Coracias_garrulus,45
Rana_dalmatina,45
Lissotriton_montandoni,44
Caprimulgus_europaeus,44
Pipistrellus_pipistrellus,43
Calidris_ferruginea,43
Linaria_flavirostris,43
Tetrao_urogallus,43
Luscinia_megarhynchos,42
Columba_oenas,42
Myotis_myotis,42
Aquila_clanga,42
Anser_brachyrhynchus,42
Emberiza_hortulana,40
Arvicola_amphibius,40
Phoxinus_phoxinus,40
Aythya_nyroca,40
Alca_torda,37
Calidris_minuta,35
Trachemys_scripta,35
Aquila_chrysaetos,35
Equus_caballus,34
Anser_fabalis,34
Hydroprogne_caspia,33
Gymnocephalus_cernua,33
Aix_sponsa,33
Crocidura_leucodon,33
Larus_fuscus,32
Salvelinus_fontinalis,32
Sylvia_nisoria,32
Tetrastes_bonasia,32
Calidris_maritima,32
Curruca_melanocephala,31
Anguilla_anguilla,31
Locustella_luscinioides,31
Pseudorasbora_parva,31
Ameiurus_nebulosus,31
Somateria_mollissima,31
Mustela_erminea,30
Sander_lucioperca,30
Asio_flammeus,29
Cobitis_taenia,29
Tadorna_ferruginea,28
Streptopelia_turtur,28
Rhinolophus_hipposideros,28
Neomys_milleri,27
Ctenopharyngodon_idella,27
Platichthys_flesus,26
Locustella_naevia,25
Pavo_cristatus,24
Himantopus_himantopus,24
Ichthyaetus_melanocephalus,24
Phalaropus_lobatus,24
Silurus_glanis,23
Phocoena_phocoena,23
Ficedula_parva,23
Buteo_rufinus,23
Calidris_temminckii,23
Rhodeus_amarus,22
Microtus_agrestis,22
Carassius_auratus,22
Pipistrellus_nathusii,21
Neogobius_melanostomus,21
Platalea_leucorodia,21
Cygnus_atratus,21
Tichodroma_muraria,21
Podarcis_muralis,21
Anthus_campestris,20
Crocidura_suaveolens,20
Larus_hyperboreus,20
Numenius_phaeopus,20
Plecotus_austriacus,20
Nyctalus_leisleri,20
Calidris_falcinellus,19
Recurvirostra_avosetta,19
Nerophis_ophidion,19
Crex_crex,19
Branta_bernicla,18
Microtus_oeconomus,18
Epidalea_calamita,18
Phylloscopus_humei,18
Bos_taurus,17
Athene_noctua,17
Egretta_garzetta,17
Myotis_bechsteinii,17
Leuciscus_idus,17
Belone_belone,17
Falco_columbarius,17
Syngnathus_typhle,17
Myotis_alcathoe,16
Lota_lota,16
Psittacula_krameri,16
Lymnocryptes_minimus,16
Stercorarius_pomarinus,16
Misgurnus_fossilis,15
Junco_hyemalis,15
Melanitta_americana,15
Myotis_brandtii,15
Pungitius_pungitius,14
Leucaspius_delineatus,14
Gallinago_media,14
Myotis_dasycneme,14
Branta_ruficollis,13
Aquila_heliaca,13
Cygnus_columbianus,13
